Year,"Air transport, passengers carried"
1970,310441408
1971,331604896
1973,401571808
1974,421145216
1975,432276512
1976,471773408
1977,513269280
1978,576089984
1979,648400576
1980,641872896
1981,640619392
1982,654482112
1983,685101568
1984,732410304
1985,783198080
1986,842594304
1987,904838080
1988,953896000
1989,983208832
1990,1024976640
1991,1133228160
1992,1145436672
1993,1142265216
1994,1233233408
1995,1302891648
1996,1390963712
1997,1455104256
1998,1466961792
1999,1562256256
2000,1674064768
2001,1655230208
2002,1627404928
2003,1665309312
2004,1888695296
2005,1969590784
2006,2072413952
2007,2209136384
2008,2208218624
2009,2249728512
2010,2628261376
2011,2786953728
2012,2894054912
2013,3048275200
2014,3227291392
2015,3466478592
2016,3705101824
2017,3973790464
2018,4242447616
2019,4557605888
2020,1809388928
