Entity,Code,Year,"International tourism, number of arrivals"
Albania,ALB,2018,5927000
Algeria,DZA,2018,2657000
American Samoa,ASM,2018,20200
Andorra,AND,2018,8328000
Angola,AGO,2018,218000
Antigua and Barbuda,ATG,2018,1064000
Argentina,ARG,2018,6942000
Armenia,ARM,2018,1652000
Aruba,ABW,2018,1897000
Australia,AUS,2018,9246000
Austria,AUT,2018,30816000
Azerbaijan,AZE,2018,2850000
Bahamas,BHS,2018,6622000
Bahrain,BHR,2018,12045000
Bangladesh,BGD,2018,267000
Barbados,BRB,2018,1356000
Belarus,BLR,2018,11502000
Belgium,BEL,2018,9119000
Belize,BLZ,2018,1697000
Benin,BEN,2018,322000
Bermuda,BMU,2018,766000
Bhutan,BTN,2018,274000
Bolivia,BOL,2018,1142000
Bosnia and Herzegovina,BIH,2018,1053000
Botswana,BWA,2018,1830000
Brazil,BRA,2018,6621000
British Virgin Islands,VGB,2018,192000
Brunei,BRN,2018,4521000
Bulgaria,BGR,2018,12368000
Burkina Faso,BFA,2018,144000
Cambodia,KHM,2018,6201000
Cameroon,CMR,2018,997000
Canada,CAN,2018,31274000
Cape Verde,CPV,2018,710000
Cayman Islands,CYM,2018,2384000
Central African Republic,CAF,2018,109000
Chad,TCD,2018,63000
Chile,CHL,2018,6603000
China,CHN,2018,158606000
Colombia,COL,2018,4397000
Comoros,COM,2018,35900
Congo,COG,2018,158000
Costa Rica,CRI,2018,3313000
Cote d'Ivoire,CIV,2018,1965000
Croatia,HRV,2018,57668000
Cuba,CUB,2018,4712000
Curacao,CUW,2018,1210000
Cyprus,CYP,2018,4024000
Czechia,CZE,2018,36268000
Denmark,DNK,2018,30801000
Dominica,DMA,2018,199000
Dominican Republic,DOM,2018,7551000
Ecuador,ECU,2018,2535000
Egypt,EGY,2018,11346000
El Salvador,SLV,2018,2536000
Estonia,EST,2018,6033000
Eswatini,SWZ,2018,1277000
Ethiopia,ETH,2018,849000
Fiji,FJI,2018,1058000
Finland,FIN,2018,3224000
France,FRA,2018,211998000
French Polynesia,PYF,2018,264000
Gambia,GMB,2018,552000
Georgia,GEO,2018,7203000
Germany,DEU,2018,38881000
Greece,GRC,2018,33072000
Grenada,GRD,2018,529000
Guam,GUM,2018,1549000
Guatemala,GTM,2018,2406000
Guinea-Bissau,GNB,2018,55000
Guyana,GUY,2018,287000
Haiti,HTI,2018,1333000
Honduras,HND,2018,2323000
Hong Kong,HKG,2018,65148000
Hungary,HUN,2018,57667000
Iceland,ISL,2018,2488000
India,IND,2018,17423000
Indonesia,IDN,2018,15810000
Iran,IRN,2018,7295000
Ireland,IRL,2018,10926000
Israel,ISR,2018,4389000
Italy,ITA,2018,93228600
Jamaica,JAM,2018,4319000
Japan,JPN,2018,31191000
Jordan,JOR,2018,4922000
Kazakhstan,KAZ,2018,8789000
Kenya,KEN,2018,2025000
